tick,direction,logical_action,airborne,velocity_before_x,velocity_before_y,velocity_before_z,force_x,force_y,force_z,velocity_after_x,velocity_after_y,velocity_after_z,scripted_velocity_x,scripted_velocity_y,scripted_velocity_z
0,5,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,,,
3,8,,,,,,,,,,,,,,
4,8,,,,,,,,,,,,,,
5,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
7,8,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,
9,8,,,,,,,,,,,,,,
10,8,,,,,,,,,,,,,,
11,8,,,,,,,,,,,,,,
12,8,,,,,,,,,,,,,,
13,8,,,,,,,,,,,,,,
14,5,,,,,,,,,,,,,,
15,5,,,,,,,,,,,,,,
16,5,,,,,,,,,,,,,,
17,5,,,,,,,,,,,,,,
18,5,,,,,,,,,,,,,,
19,5,,,,,,,,,,,,,,
20,5,,,,,,,,,,,,,,
21,5,,,,,,,,,,,,,,
